id,Zone,Items,Status,Payment,Total_Price
57,Gulshan/Banani,3 items,DELIVERED,CASH,90Tk
58,Mohammadpur,2 items,DELIVERED,CASH,150Tk
59,Mohammadpur,4 items,DELIVERED,CASH,126Tk
60,Gulshan/Banani,3 items,DELIVERED,CASH,130Tk
61,Mirpur,1 items,DELIVERED,CASH,50Tk
62,Mohammadpur,3 items,DELIVERED,CASH,39Tk
63,Dhanmondi,2 items,DELIVERED,CASH,78Tk
64,Mohammadpur,3 items,DELIVERED,CASH,133Tk
65,Gulshan/Banani,4 items,DELIVERED,CASH,60Tk
66,Gulshan/Banani,3 items,DELIVERED,CASH,50Tk
67,Wari,3 items,DELIVERED,CASH,69Tk
68,Gulshan/Banani,2 items,DELIVERED,CASH,67Tk
69,Gulshan/Banani,2 items,DELIVERED,CASH,130Tk
70,Mohammadpur,3 items,DELIVERED,CASH,117Tk
71,Mohammadpur,3 items,DELIVERED,CASH,42Tk
72,Gulshan/Banani,3 items,DELIVERED,CASH,76Tk
73,Gulshan/Banani,2 items,DELIVERED,CASH,72Tk
74,Mohammadpur,3 items,DELIVERED,CARD,120Tk
75,Mirpur,1 items,DELIVERED,CASH,35Tk
76,Mohammadpur,3 items,DELIVERED,CASH,195Tk
77,Uttara,2 items,DELIVERED,CASH,55Tk
78,Gulshan/Banani,2 items,DELIVERED,CASH,60Tk
79,Uttara,1 items,DELIVERED,CASH,60Tk
80,Baily Road / Khilgaon,2 items,DELIVERED,CASH,70Tk
81,Gulshan/Banani,2 items,DELIVERED,CASH,67Tk
82,Mirpur,2 items,DELIVERED,CASH,32Tk
83,Baily Road / Khilgaon,3 items,DELIVERED,CASH,54Tk
84,Gulshan/Banani,3 items,DELIVERED,CASH,77Tk
85,Uttara,4 items,DELIVERED,CASH,75Tk
86,Gulshan/Banani,2 items,DELIVERED,CASH,62Tk
87,Gulshan/Banani,4 items,DELIVERED,CASH,151Tk
88,Gulshan/Banani,3 items,DELIVERED,CASH,70Tk
89,Gulshan/Banani,2 items,DELIVERED,CASH,64Tk
90,Gulshan/Banani,2 items,DELIVERED,CASH,52Tk
91,Baily Road / Khilgaon,2 items,DELIVERED,CASH,66Tk
92,Dhanmondi,2 items,DELIVERED,CASH,289Tk
93,Gulshan/Banani,3 items,DELIVERED,CASH,64Tk
94,Dhanmondi,2 items,DELIVERED,CASH,475Tk
95,Mohammadpur,3 items,DELIVERED,CASH,70Tk
96,Gulshan/Banani,1 items,DELIVERED,CASH,382Tk
97,Mirpur,2 items,DELIVERED,CASH,95Tk
98,Baily Road / Khilgaon,1 items,DELIVERED,CASH,208Tk
99,Mohammadpur,2 items,DELIVERED,CASH,120Tk
100,Dhanmondi,4 items,DELIVERED,CASH,2312Tk
101,Gulshan/Banani,3 items,DELIVERED,CASH,112Tk
102,Dhanmondi,1 items,DELIVERED,CASH,120Tk
103,Uttara,2 items,DELIVERED,CASH,50Tk
104,Dhanmondi,1 items,DELIVERED,CASH,240Tk
105,Mirpur,2 items,DELIVERED,CASH,52Tk
106,Mirpur,2 items,DELIVERED,CASH,110Tk
107,Mohammadpur,2 items,DELIVERED,CASH,130Tk
108,Mirpur,2 items,DELIVERED,CASH,162Tk
109,Baily Road / Khilgaon,3 items,DELIVERED,CASH,105Tk
110,Mirpur,1 items,DELIVERED,CASH,120Tk
111,Gulshan/Banani,4 items,DELIVERED,CARD,113Tk
112,Dhanmondi,1 items,DELIVERED,CASH,250Tk
113,Mohammadpur,2 items,DELIVERED,CASH,90Tk
114,Gulshan/Banani,1 items,DELIVERED,CASH,746Tk
115,Gulshan/Banani,2 items,DELIVERED,CASH,43Tk
116,Mirpur,1 items,DELIVERED,CASH,182Tk
117,Mohammadpur,3 items,DELIVERED,CASH,45Tk
118,Dhanmondi,1 items,DELIVERED,CASH,420Tk
119,Uttara,3 items,DELIVERED,CASH,70Tk
120,Dhanmondi,3 items,DELIVERED,CASH,914Tk
121,Gulshan/Banani,4 items,DELIVERED,CASH,83Tk
122,Dhanmondi,1 items,DELIVERED,CASH,221Tk
123,Uttara,4 items,DELIVERED,CASH,120Tk
124,Dhanmondi,2 items,DELIVERED,CASH,216Tk
125,Gulshan/Banani,2 items,DELIVERED,CASH,65Tk
126,Dhanmondi,1 items,DELIVERED,CASH,399Tk
127,Gulshan/Banani,1 items,DELIVERED,CASH,39Tk
128,Uttara,1 items,DELIVERED,CASH,250Tk
129,Gulshan/Banani,2 items,DELIVERED,CASH,60Tk
130,Mirpur,1 items,DELIVERED,CASH,208Tk
131,Gulshan/Banani,3 items,DELIVERED,CASH,70Tk
132,Dhanmondi,2 items,DELIVERED,CASH,175Tk
133,Gulshan/Banani,2 items,DELIVERED,CASH,43Tk
134,Mirpur,6 items,DELIVERED,CASH,1345Tk
135,Dhanmondi,1 items,DELIVERED,CASH,455Tk
136,Dhanmondi,1 items,DELIVERED,CASH,798Tk
137,Dhanmondi,2 items,DELIVERED,CASH,300Tk
138,Mirpur,1 items,DELIVERED,CASH,240Tk
139,Mirpur,1 items,DELIVERED,CASH,223Tk
140,Dhanmondi,1 items,DELIVERED,CASH,234Tk
141,Dhanmondi,7 items,DELIVERED,CASH,3626Tk
142,Dhanmondi,1 items,DELIVERED,CASH,69Tk
143,Gulshan/Banani,1 items,DELIVERED,CASH,860Tk
144,Mohammadpur,3 items,DELIVERED,CASH,585Tk
145,Dhanmondi,1 items,DELIVERED,CASH,80Tk
146,Mirpur,1 items,DELIVERED,CASH,80Tk
147,Dhanmondi,1 items,DELIVERED,CASH,460Tk
148,Mirpur,2 items,DELIVERED,CASH,364Tk
149,Gulshan/Banani,1 items,DELIVERED,CASH,247Tk
150,Dhanmondi,2 items,DELIVERED,CASH,364Tk
151,Dhanmondi,1 items,DELIVERED,CASH,100Tk
152,Mohammadpur,1 items,DELIVERED,CASH,75Tk
153,Mohammadpur,1 items,DELIVERED,CASH,180Tk
154,Mirpur,1 items,DELIVERED,CASH,60Tk
155,Dhanmondi,1 items,DELIVERED,CASH,1104Tk
156,Mirpur,1 items,DELIVERED,CASH,199Tk
157,Dhanmondi,2 items,DELIVERED,CASH,156Tk
158,Uttara,1 items,DELIVERED,CASH,384Tk
159,Dhanmondi,1 items,DELIVERED,CASH,400Tk
160,Mirpur,2 items,DELIVERED,CASH,430Tk
161,Gulshan/Banani,2 items,DELIVERED,CASH,351Tk
162,Mohammadpur,3 items,DELIVERED,CASH,109Tk
163,Dhanmondi,1 items,DELIVERED,CASH,130Tk
164,Gulshan/Banani,1 items,DELIVERED,CASH,70Tk
165,Mohammadpur,1 items,DELIVERED,CASH,290Tk
166,Gulshan/Banani,1 items,DELIVERED,CASH,1248Tk
167,Dhanmondi,1 items,DELIVERED,CASH,1540Tk
168,Dhanmondi,4 items,DELIVERED,CASH,110Tk
169,Mirpur,1 items,DELIVERED,CASH,97Tk
170,Dhanmondi,1 items,DELIVERED,CASH,140Tk
171,Bashundhara,2 items,DELIVERED,CASH,140Tk
172,Gulshan/Banani,2 items,DELIVERED,CASH,81Tk
173,Wari,1 items,DELIVERED,CASH,56Tk
174,Uttara,1 items,DELIVERED,CASH,120Tk
175,Uttara,1 items,DELIVERED,CASH,299Tk
176,Mirpur,2 items,DELIVERED,CASH,405Tk
177,Mohammadpur,1 items,DELIVERED,CASH,50Tk
178,Uttara,2 items,DELIVERED,CASH,360Tk
179,Mirpur,1 items,DELIVERED,CASH,82Tk
180,Bashundhara,3 items,DELIVERED,CASH,370Tk
181,Uttara,1 items,DELIVERED,CASH,283Tk
182,Dhanmondi,1 items,DELIVERED,CASH,800Tk
183,Baily Road / Khilgaon,2 items,DELIVERED,CASH,440Tk
184,Dhanmondi,2 items,DELIVERED,CASH,195Tk
185,Dhanmondi,1 items,DELIVERED,CASH,300Tk
186,Mohammadpur,1 items,DELIVERED,CASH,351Tk
187,Bashundhara,1 items,DELIVERED,CASH,104Tk
188,Dhanmondi,2 items,DELIVERED,CASH,161Tk
189,Bashundhara,1 items,DELIVERED,CASH,91Tk
190,Mirpur,1 items,DELIVERED,CASH,160Tk
191,Dhanmondi,1 items,DELIVERED,CASH,200Tk
192,Dhanmondi,1 items,DELIVERED,CASH,280Tk
193,Dhanmondi,2 items,DELIVERED,CASH,279Tk
194,Gulshan/Banani,2 items,DELIVERED,CASH,3198Tk
195,Baily Road / Khilgaon,1 items,DELIVERED,CASH,144Tk
196,Gulshan/Banani,1 items,DELIVERED,CASH,213Tk
197,Dhanmondi,1 items,DELIVERED,CASH,272Tk
198,Mirpur,1 items,DELIVERED,CASH,160Tk
199,Mirpur,1 items,DELIVERED,CASH,156Tk
200,Bashundhara,1 items,DELIVERED,CASH,960Tk
201,Chattogram,1 items,DELIVERED,CASH,547Tk
202,Mirpur,1 items,DELIVERED,CASH,195Tk
203,Mohammadpur,1 items,DELIVERED,CASH,450Tk
204,Mohammadpur,1 items,DELIVERED,CASH,221Tk
205,Baily Road / Khilgaon,1 items,DELIVERED,CASH,388Tk
206,Gulshan/Banani,1 items,DELIVERED,CASH,84Tk
207,Wari,2 items,DELIVERED,CASH,198Tk
208,Dhanmondi,1 items,DELIVERED,CASH,307Tk
209,Mirpur,1 items,DELIVERED,CASH,60Tk
210,Baily Road / Khilgaon,3 items,DELIVERED,CASH,283Tk
211,Dhanmondi,4 items,DELIVERED,CASH,750Tk
212,Baily Road / Khilgaon,1 items,DELIVERED,CASH,644Tk
213,Gulshan/Banani,1 items,DELIVERED,CASH,213Tk
214,Uttara,2 items,DELIVERED,CASH,315Tk
215,Chattogram,1 items,DELIVERED,CASH,166Tk
216,Dhanmondi,3 items,DELIVERED,CASH,220Tk
217,Dhanmondi,2 items,DELIVERED,CASH,78Tk
218,Dhanmondi,1 items,DELIVERED,CASH,600Tk
219,Dhanmondi,2 items,DELIVERED,CASH,770Tk
220,Dhanmondi,1 items,DELIVERED,CASH,460Tk
221,Mirpur,1 items,DELIVERED,CASH,199Tk
222,Baily Road / Khilgaon,1 items,DELIVERED,CASH,130Tk
223,Dhanmondi,1 items,DELIVERED,CASH,280Tk
224,Uttara,2 items,DELIVERED,CASH,355Tk
225,Mirpur,2 items,DELIVERED,CASH,416Tk
226,Uttara,1 items,DELIVERED,CASH,80Tk
227,Uttara,4 items,DELIVERED,CASH,546Tk
228,Wari,2 items,DELIVERED,CASH,165Tk
229,Chattogram,1 items,DELIVERED,CASH,221Tk
230,Wari,1 items,DELIVERED,CASH,120Tk
231,Dhanmondi,1 items,DELIVERED,CASH,50Tk
232,Gulshan/Banani,1 items,DELIVERED,CASH,219Tk
233,Baily Road / Khilgaon,2 items,DELIVERED,CASH,170Tk
234,Gulshan/Banani,1 items,DELIVERED,CASH,182Tk
235,Mohammadpur,1 items,DELIVERED,CASH,280Tk
236,Uttara,2 items,DELIVERED,CASH,240Tk
237,Dhanmondi,2 items,DELIVERED,CASH,420Tk
238,Mirpur,1 items,DELIVERED,CASH,210Tk
239,Baily Road / Khilgaon,2 items,DELIVERED,CASH,245Tk
240,Mirpur,1 items,DELIVERED,CASH,200Tk
241,Mirpur,1 items,DELIVERED,CASH,288Tk
242,Wari,2 items,DELIVERED,CASH,157Tk
243,Wari,1 items,DELIVERED,CASH,98Tk
244,Baily Road / Khilgaon,1 items,DELIVERED,CASH,757Tk
245,Gulshan/Banani,1 items,DELIVERED,CASH,32Tk
246,Dhanmondi,1 items,DELIVERED,CASH,224Tk
247,Dhanmondi,2 items,DELIVERED,CASH,322Tk
248,Uttara,1 items,DELIVERED,CASH,230Tk
249,Dhanmondi,1 items,DELIVERED,CASH,300Tk
250,Baily Road / Khilgaon,2 items,DELIVERED,CASH,176Tk
251,Gulshan/Banani,2 items,DELIVERED,CASH,1950Tk
252,Dhanmondi,2 items,DELIVERED,CASH,232Tk
253,Mohammadpur,4 items,DELIVERED,CASH,2540Tk
254,Baily Road / Khilgaon,1 items,DELIVERED,CASH,300Tk
255,Dhanmondi,1 items,DELIVERED,CASH,200Tk
256,Gulshan/Banani,1 items,DELIVERED,CASH,207Tk
257,Mohammadpur,1 items,DELIVERED,CASH,65Tk
258,Gulshan/Banani,3 items,DELIVERED,CASH,446Tk
259,Mirpur,1 items,DELIVERED,CASH,120Tk
260,Mirpur,1 items,DELIVERED,CASH,299Tk
261,Mohammadpur,1 items,DELIVERED,CASH,214Tk
262,Mirpur,1 items,DELIVERED,CASH,150Tk
263,Mirpur,2 items,DELIVERED,CASH,725Tk
264,Dhanmondi,1 items,DELIVERED,CASH,559Tk
265,Baily Road / Khilgaon,1 items,DELIVERED,CASH,240Tk
266,Wari,1 items,DELIVERED,CASH,45Tk
267,Bashundhara,2 items,DELIVERED,CASH,132Tk
268,Mirpur,2 items,DELIVERED,CASH,585Tk
269,Mohammadpur,1 items,DELIVERED,CASH,180Tk
270,Mohammadpur,1 items,DELIVERED,CASH,56Tk
271,Bashundhara,1 items,DELIVERED,CASH,162Tk
272,Mirpur,1 items,DELIVERED,CASH,60Tk
273,Gulshan/Banani,2 items,DELIVERED,CASH,180Tk
274,Mirpur,2 items,DELIVERED,CASH,149Tk
275,Dhanmondi,1 items,DELIVERED,CASH,42Tk
276,Bashundhara,1 items,DELIVERED,CASH,149Tk
277,Uttara,1 items,DELIVERED,CASH,265Tk
278,Baily Road / Khilgaon,1 items,DELIVERED,CASH,288Tk
279,Gulshan/Banani,1 items,DELIVERED,CASH,960Tk
280,Mohammadpur,1 items,DELIVERED,CASH,140Tk
281,Dhanmondi,1 items,DELIVERED,CASH,440Tk
282,Dhanmondi,2 items,DELIVERED,CASH,400Tk
283,Dhanmondi,1 items,DELIVERED,CASH,70Tk
284,Mirpur,1 items,DELIVERED,CASH,383Tk
285,Mohammadpur,1 items,DELIVERED,CASH,150Tk
286,Dhanmondi,1 items,DELIVERED,CASH,100Tk
287,Dhanmondi,1 items,DELIVERED,CASH,487Tk
288,Uttara,1 items,DELIVERED,CASH,498Tk
289,Dhanmondi,1 items,DELIVERED,CASH,135Tk
290,Mirpur,1 items,DELIVERED,CASH,230Tk
291,Gulshan/Banani,1 items,DELIVERED,CASH,797Tk
292,Uttara,1 items,DELIVERED,CASH,390Tk
293,Baily Road / Khilgaon,4 items,DELIVERED,CARD,1072Tk
294,Mirpur,1 items,DELIVERED,CASH,200Tk
295,Dhanmondi,2 items,DELIVERED,CASH,275Tk
296,Uttara,2 items,DELIVERED,CASH,300Tk
297,Mirpur,1 items,DELIVERED,CASH,120Tk
298,Dhanmondi,5 items,DELIVERED,CASH,702Tk
299,Dhanmondi,3 items,DELIVERED,CASH,200Tk
300,Dhanmondi,2 items,DELIVERED,CASH,400Tk
301,Baily Road / Khilgaon,3 items,DELIVERED,CASH,868Tk
302,Baily Road / Khilgaon,1 items,DELIVERED,CASH,160Tk
303,Dhanmondi,1 items,DELIVERED,CASH,100Tk
304,Mohammadpur,1 items,DELIVERED,CASH,180Tk
305,Baily Road / Khilgaon,1 items,DELIVERED,CASH,253Tk
306,Chattogram,1 items,DELIVERED,CASH,36Tk
307,Mohammadpur,2 items,DELIVERED,CASH,190Tk
308,Baily Road / Khilgaon,1 items,DELIVERED,CASH,360Tk
309,Dhanmondi,2 items,DELIVERED,CASH,221Tk
310,Uttara,1 items,DELIVERED,CASH,104Tk
311,Dhanmondi,1 items,DELIVERED,CASH,70Tk
312,Gulshan/Banani,2 items,DELIVERED,CASH,966Tk
313,Uttara,1 items,DELIVERED,CASH,156Tk
314,Dhanmondi,1 items,DELIVERED,CASH,97Tk
315,Mohammadpur,2 items,DELIVERED,CASH,368Tk
316,Mohammadpur,1 items,DELIVERED,CASH,97Tk
317,Gulshan/Banani,1 items,DELIVERED,CASH,208Tk
318,Mohammadpur,2 items,DELIVERED,CASH,110Tk
319,Mohammadpur,4 items,DELIVERED,CASH,943Tk
320,Baily Road / Khilgaon,2 items,DELIVERED,CASH,497Tk
321,Baily Road / Khilgaon,1 items,DELIVERED,CASH,150Tk
322,Mirpur,1 items,DELIVERED,CASH,97Tk
323,Mirpur,1 items,DELIVERED,CASH,168Tk
324,Baily Road / Khilgaon,1 items,DELIVERED,CASH,65Tk
325,Bashundhara,1 items,DELIVERED,CASH,195Tk
326,Mirpur,1 items,DELIVERED,CASH,45Tk
327,Dhanmondi,2 items,DELIVERED,CASH,357Tk
328,Gulshan/Banani,1 items,DELIVERED,CASH,138Tk
329,Mohammadpur,2 items,DELIVERED,CASH,76Tk
330,Dhanmondi,3 items,DELIVERED,CASH,100Tk
331,Wari,1 items,DELIVERED,CASH,656Tk
332,Uttara,1 items,DELIVERED,CASH,249Tk
333,Mirpur,1 items,DELIVERED,CASH,110Tk
334,Uttara,1 items,DELIVERED,CASH,324Tk
335,Dhanmondi,2 items,DELIVERED,CASH,234Tk
336,Gulshan/Banani,2 items,DELIVERED,CASH,540Tk
337,Baily Road / Khilgaon,1 items,DELIVERED,CASH,450Tk
338,Dhanmondi,1 items,DELIVERED,CASH,200Tk
339,Gulshan/Banani,1 items,DELIVERED,CASH,70Tk
340,Wari,2 items,DELIVERED,CASH,234Tk
341,Bashundhara,1 items,DELIVERED,CASH,160Tk
342,Gulshan/Banani,1 items,DELIVERED,CASH,1340Tk
343,Bashundhara,1 items,DELIVERED,CASH,260Tk
344,Dhanmondi,2 items,DELIVERED,CASH,285Tk
345,Mohammadpur,1 items,DELIVERED,CASH,135Tk
346,Wari,4 items,DELIVERED,CASH,653Tk
347,Dhanmondi,2 items,DELIVERED,CASH,929Tk
348,Chattogram,1 items,DELIVERED,CASH,416Tk
349,Chattogram,1 items,DELIVERED,CASH,225Tk
350,Mirpur,1 items,DELIVERED,CASH,117Tk
351,Baily Road / Khilgaon,1 items,DELIVERED,CASH,320Tk
352,Uttara,1 items,DELIVERED,CASH,168Tk
353,Baily Road / Khilgaon,1 items,DELIVERED,CASH,914Tk
354,Dhanmondi,1 items,DELIVERED,CASH,50Tk
355,Baily Road / Khilgaon,1 items,DELIVERED,CASH,422Tk
356,Baily Road / Khilgaon,2 items,DELIVERED,CASH,560Tk
357,Dhanmondi,5 items,DELIVERED,CASH,969Tk
358,Mohammadpur,3 items,DELIVERED,CASH,240Tk
359,Mirpur,2 items,DELIVERED,CASH,190Tk
360,Mirpur,2 items,DELIVERED,CASH,280Tk
361,Mirpur,1 items,DELIVERED,CASH,378Tk
362,Bashundhara,2 items,DELIVERED,CASH,324Tk
363,Mirpur,1 items,DELIVERED,CASH,184Tk
364,Gulshan/Banani,2 items,DELIVERED,CASH,130Tk
365,Dhanmondi,3 items,DELIVERED,CASH,230Tk
366,Mirpur,1 items,DELIVERED,CASH,250Tk
367,Gulshan/Banani,1 items,DELIVERED,CASH,473Tk
368,Bashundhara,2 items,DELIVERED,CASH,214Tk
369,Uttara,2 items,DELIVERED,CASH,195Tk
370,Dhanmondi,1 items,DELIVERED,CASH,60Tk
371,Baily Road / Khilgaon,1 items,DELIVERED,CASH,136Tk
372,Wari,1 items,DELIVERED,CASH,656Tk
373,Chattogram,4 items,DELIVERED,CASH,780Tk
374,Dhanmondi,2 items,DELIVERED,CASH,572Tk
375,Uttara,1 items,DELIVERED,CASH,440Tk
376,Mohammadpur,2 items,DELIVERED,CASH,520Tk
377,Uttara,1 items,DELIVERED,CASH,120Tk
378,Wari,3 items,DELIVERED,CASH,210Tk
379,Dhanmondi,1 items,DELIVERED,CASH,899Tk
380,Chattogram,1 items,DELIVERED,CASH,142Tk
381,Bashundhara,1 items,DELIVERED,CASH,180Tk
382,Mohammadpur,1 items,DELIVERED,CASH,262Tk
383,Dhanmondi,3 items,DELIVERED,CASH,438Tk
384,Mirpur,1 items,DELIVERED,CASH,117Tk
385,Uttara,1 items,DELIVERED,CASH,180Tk
386,Dhanmondi,1 items,DELIVERED,CASH,674Tk
387,Gulshan/Banani,4 items,DELIVERED,CASH,1686Tk
388,Mohammadpur,1 items,DELIVERED,CASH,90Tk
389,Mohammadpur,2 items,DELIVERED,CASH,86Tk
390,Gulshan/Banani,2 items,DELIVERED,CASH,280Tk
391,Mohammadpur,3 items,DELIVERED,CASH,162Tk
392,Mirpur,1 items,DELIVERED,CASH,780Tk
393,Baily Road / Khilgaon,2 items,DELIVERED,CASH,650Tk
394,Uttara,1 items,DELIVERED,CASH,162Tk
395,Baily Road / Khilgaon,3 items,DELIVERED,CASH,240Tk
396,Dhanmondi,1 items,DELIVERED,CASH,287Tk
397,Gulshan/Banani,3 items,DELIVERED,CASH,140Tk
398,Uttara,1 items,DELIVERED,CASH,249Tk
399,Baily Road / Khilgaon,3 items,DELIVERED,CASH,260Tk
400,Dhanmondi,1 items,DELIVERED,CASH,135Tk
401,Chattogram,1 items,DELIVERED,CASH,143Tk
402,Dhanmondi,1 items,DELIVERED,CASH,200Tk
403,Uttara,2 items,DELIVERED,CASH,310Tk
404,Dhanmondi,1 items,DELIVERED,CASH,210Tk
405,Bashundhara,2 items,DELIVERED,CASH,393Tk
406,Dhanmondi,1 items,DELIVERED,CASH,100Tk
407,Baily Road / Khilgaon,1 items,DELIVERED,CASH,208Tk
408,Chattogram,2 items,DELIVERED,CASH,299Tk
409,Mirpur,1 items,DELIVERED,CASH,700Tk
410,Gulshan/Banani,1 items,DELIVERED,CASH,219Tk
411,Mirpur,1 items,DELIVERED,CASH,364Tk
412,Mirpur,1 items,DELIVERED,CASH,120Tk
413,Uttara,1 items,DELIVERED,CASH,39Tk
414,Uttara,1 items,DELIVERED,CASH,104Tk
415,Dhanmondi,2 items,DELIVERED,CASH,150Tk
416,Uttara,2 items,DELIVERED,CASH,452Tk
417,Dhanmondi,1 items,DELIVERED,CASH,169Tk
418,Baily Road / Khilgaon,3 items,DELIVERED,CASH,540Tk
419,Uttara,1 items,DELIVERED,CASH,230Tk
420,Chattogram,1 items,DELIVERED,CASH,396Tk
421,Mohammadpur,2 items,DELIVERED,CASH,214Tk
422,Uttara,2 items,DELIVERED,CASH,470Tk
423,Mirpur,1 items,DELIVERED,CASH,130Tk
424,Mohammadpur,1 items,DELIVERED,CASH,286Tk
425,Dhanmondi,4 items,DELIVERED,CASH,825Tk
426,Uttara,1 items,DELIVERED,CASH,249Tk
427,Mohammadpur,1 items,DELIVERED,CASH,315Tk
428,Dhanmondi,1 items,DELIVERED,CASH,184Tk
429,Chattogram,2 items,DELIVERED,CASH,156Tk
430,Chattogram,1 items,DELIVERED,CASH,36Tk
431,Mirpur,1 items,DELIVERED,CASH,198Tk
432,Wari,2 items,DELIVERED,CASH,260Tk
433,Chattogram,1 items,DELIVERED,CASH,144Tk
434,Uttara,1 items,DELIVERED,CASH,400Tk
435,Gulshan/Banani,1 items,DELIVERED,CASH,65Tk
436,Mohammadpur,1 items,DELIVERED,CASH,175Tk
437,Dhanmondi,2 items,DELIVERED,CASH,1110Tk
438,Baily Road / Khilgaon,2 items,DELIVERED,CASH,247Tk
439,Dhanmondi,2 items,DELIVERED,CASH,180Tk
440,Gulshan/Banani,2 items,DELIVERED,CASH,81Tk
441,Uttara,1 items,DELIVERED,CASH,64Tk
442,Mirpur,3 items,DELIVERED,CASH,200Tk
443,Baily Road / Khilgaon,2 items,DELIVERED,CASH,240Tk
444,Baily Road / Khilgaon,2 items,DELIVERED,CASH,175Tk
445,Baily Road / Khilgaon,4 items,DELIVERED,CASH,448Tk
446,Mohammadpur,1 items,DELIVERED,CASH,180Tk
447,Gulshan/Banani,5 items,DELIVERED,CASH,412Tk
448,Baily Road / Khilgaon,2 items,DELIVERED,CASH,660Tk
449,Bashundhara,2 items,DELIVERED,CASH,162Tk
450,Dhanmondi,1 items,DELIVERED,CASH,60Tk
451,Gulshan/Banani,2 items,DELIVERED,CASH,96Tk
452,Gulshan/Banani,1 items,DELIVERED,CASH,130Tk
453,Dhanmondi,3 items,DELIVERED,CASH,230Tk
454,Mohammadpur,3 items,DELIVERED,CASH,336Tk
455,Uttara,1 items,DELIVERED,CASH,184Tk
456,Mohammadpur,1 items,DELIVERED,CASH,32Tk
457,Baily Road / Khilgaon,2 items,DELIVERED,CASH,298Tk
458,Gulshan/Banani,3 items,DELIVERED,CASH,395Tk
459,Mirpur,1 items,DELIVERED,CASH,160Tk
460,Gulshan/Banani,2 items,DELIVERED,CASH,356Tk
461,Mirpur,2 items,DELIVERED,CASH,105Tk
462,Bashundhara,1 items,DELIVERED,CASH,599Tk
463,Mohammadpur,2 items,DELIVERED,CASH,270Tk
